Date,Open,High,Low,Close,Adj Close,Volume
2010-11-25,9.984000,10.015000,9.918000,9.992000,5.239428,10611888
2010-11-26,9.990000,10.020000,9.901000,9.968000,5.226844,14674470
2010-11-29,9.994000,10.030000,9.866000,9.866000,5.173359,19545672
2010-11-30,9.900000,9.968000,9.833000,9.866000,5.173359,21350769
2010-12-01,9.910000,10.065000,9.885000,10.050000,5.269842,18488265
2010-12-02,10.040000,10.060000,9.923000,10.015000,5.251489,22081444
2010-12-03,10.020000,10.040000,9.900000,9.959000,5.222124,17081874
2010-12-06,9.930000,9.948000,9.809000,9.849000,5.164444,15889188
2010-12-07,9.820000,9.915000,9.820000,9.857000,5.168640,14443929
2010-12-08,9.869000,9.886000,9.803000,9.862000,5.171262,11871145
2010-12-09,9.894000,10.000000,9.839000,9.911000,5.196956,17621160
2010-12-10,9.880000,9.925000,9.811000,9.891000,5.186468,18072322
2010-12-13,9.910000,9.916000,9.844000,9.844000,5.161823,12527819
2010-12-14,9.843000,9.881000,9.835000,9.881000,5.181224,11363165
2010-12-15,9.850000,9.868000,9.750000,9.818000,5.148190,17115136
2010-12-16,9.830000,9.870000,9.785000,9.842000,5.160775,10894098
2010-12-17,9.826000,9.851000,9.674000,9.674000,5.072681,38927368
2010-12-20,9.730000,9.766000,9.661000,9.670000,5.070583,15397635
2010-12-21,9.709000,9.747000,9.675000,9.738000,5.106240,11146128
2010-12-22,9.714000,9.745000,9.600000,9.670000,5.070583,15295480
2010-12-23,9.660000,9.726000,9.654000,9.693000,5.082644,8559196
2010-12-27,9.710000,9.727000,9.581000,9.650000,5.060096,8179939
2010-12-28,9.650000,9.713000,9.624000,9.645000,5.057475,5138579
2010-12-29,9.685000,9.759000,9.681000,9.704000,5.088413,8541606
2010-12-30,9.701000,9.705000,9.562000,9.655000,5.062719,13799047
2011-01-03,9.744000,9.744000,9.668000,9.713000,5.093131,10638603
2011-01-04,9.720000,9.720000,9.612000,9.670000,5.070583,13449475
2011-01-05,9.650000,9.685000,9.567000,9.618000,5.043317,16800766
2011-01-06,9.620000,9.850000,9.602000,9.777000,5.126690,19898751
2011-01-07,9.790000,9.993000,9.780000,9.857000,5.168640,24639517
2011-01-10,9.770000,9.781000,9.648000,9.677000,5.074255,15948237
2011-01-11,9.662000,9.662000,9.553000,9.628000,5.048560,19505721
2011-01-12,9.600000,9.700000,9.565000,9.700000,5.086315,20812995
2011-01-13,9.690000,9.700000,9.600000,9.650000,5.060096,19975097
2011-01-14,9.660000,9.669000,9.551000,9.633000,5.051183,18760552
2011-01-17,9.621000,9.668000,9.545000,9.549000,5.007136,13725956
2011-01-18,9.530000,9.609000,9.500000,9.606000,5.037024,15281624
2011-01-19,9.643000,9.664000,9.588000,9.606000,5.037024,14685222
2011-01-20,9.610000,9.887000,9.600000,9.723000,5.098374,27976039
2011-01-21,9.780000,9.978000,9.722000,9.940000,5.212162,33438497
2011-01-24,9.955000,10.010000,9.905000,9.966000,5.225795,17173817
2011-01-25,9.965000,10.020000,9.867000,9.908000,5.195382,14643617
2011-01-26,9.908000,9.979000,9.832000,9.852000,5.166018,14397296
2011-01-27,9.842000,9.873000,9.749000,9.861000,5.170737,15327936
2011-01-28,9.873000,9.873000,9.729000,9.729000,5.101521,13685114
2011-01-31,9.730000,9.799000,9.703000,9.738000,5.106240,13243883
2011-02-01,9.790000,9.886000,9.775000,9.855000,5.167591,14098611
2011-02-02,9.850000,9.933000,9.816000,9.933000,5.208491,14830868
2011-02-03,9.957000,10.005000,9.868000,9.960000,5.222649,18756380
2011-02-04,10.010000,10.105000,9.935000,10.065000,5.277706,18225221
2011-02-07,10.100000,10.150000,10.030000,10.060000,5.275086,14682337
2011-02-08,10.035000,10.055000,9.975000,10.015000,5.251489,13347922
2011-02-09,9.975000,10.020000,9.947000,10.005000,5.246244,10655237
2011-02-10,10.000000,10.000000,9.924000,9.950000,5.217405,14579540
2011-02-11,9.950000,9.950000,9.881000,9.900000,5.191186,15469965
2011-02-14,9.940000,9.964000,9.865000,9.893000,5.187517,10794682
2011-02-15,9.880000,9.939000,9.842000,9.900000,5.191186,15021575
2011-02-16,9.900000,10.030000,9.890000,10.000000,5.243624,14266535
2011-02-17,10.010000,10.010000,9.876000,9.963000,5.224222,17949696
2011-02-18,9.994000,10.050000,9.970000,10.010000,5.248867,16510681
2011-02-21,10.030000,10.105000,9.975000,10.015000,5.251489,15842668
2011-02-22,10.050000,10.080000,9.950000,10.000000,5.243624,14190143
2011-02-23,10.035000,10.045000,9.944000,9.953000,5.218978,12306108
2011-02-24,9.915000,9.993000,9.813000,9.920000,5.201674,19168143
2011-02-25,9.792000,9.840000,9.696000,9.741000,5.107813,39199192
2011-02-28,9.700000,9.828000,9.675000,9.745000,5.109910,16114437
2011-03-01,9.750000,9.798000,9.676000,9.700000,5.086315,17759801
2011-03-02,9.700000,9.811000,9.632000,9.751000,5.113057,18590688
2011-03-03,9.788000,9.794000,9.673000,9.698000,5.085266,16101703
2011-03-04,9.750000,9.791000,9.673000,9.709000,5.091033,13409885
2011-03-07,9.685000,9.740000,9.630000,9.630000,5.049610,10815345
2011-03-08,9.610000,10.220000,9.605000,10.010000,5.248867,62819186
2011-03-09,10.060000,10.250000,10.030000,10.100000,5.296059,34933054
2011-03-10,10.080000,10.230000,10.040000,10.210000,5.353739,19815112
2011-03-11,10.150000,10.215000,10.110000,10.160000,5.327522,14639826
2011-03-14,10.130000,10.250000,10.000000,10.020000,5.254111,16789385
2011-03-15,9.910000,9.975000,9.640000,9.728000,5.100997,38350459
2011-03-16,9.800000,9.840000,9.606000,9.617000,5.042792,25785659
2011-03-17,9.660000,9.763000,9.593000,9.720000,5.096801,20459809
2011-03-18,9.720000,9.762000,9.574000,9.590000,5.028635,42010286
2011-03-21,11.100000,11.150000,10.670000,10.670000,5.594946,115472766
2011-03-22,10.700000,10.855000,10.625000,10.800000,5.663113,31390457
2011-03-23,10.790000,10.900000,10.735000,10.855000,5.691952,17493878
2011-03-24,10.825000,10.920000,10.760000,10.850000,5.689331,16948718
2011-03-25,10.850000,10.855000,10.735000,10.735000,5.629030,14794935
2011-03-28,10.715000,10.820000,10.660000,10.735000,5.629030,14016474
2011-03-29,10.700000,10.770000,10.670000,10.760000,5.642138,11187071
2011-03-30,10.810000,10.890000,10.700000,10.890000,5.710305,16194217
2011-03-31,10.865000,10.950000,10.785000,10.870000,5.699818,20159715
2011-04-01,10.880000,11.100000,10.880000,11.095000,5.817800,18191889
2011-04-04,11.100000,11.135000,11.055000,11.130000,5.836152,11049356
2011-04-05,11.075000,11.150000,11.045000,11.125000,5.833532,10282103
2011-04-06,11.150000,11.165000,11.045000,11.050000,5.794204,11017301
2011-04-07,11.000000,11.110000,10.970000,11.035000,5.786337,11029099
2011-04-08,11.045000,11.130000,11.005000,11.065000,5.802069,9644849
2011-04-11,11.055000,11.175000,11.035000,11.145000,5.844018,11430324
2011-04-12,11.075000,11.205000,11.005000,11.020000,5.778472,15667008
2011-04-13,11.075000,11.150000,11.035000,11.090000,5.815178,13748802
2011-04-14,11.060000,11.100000,11.020000,11.080000,5.809935,10509360
2011-04-15,11.075000,11.260000,11.055000,11.260000,5.904321,22460048
2011-04-18,11.300000,11.350000,11.100000,11.110000,5.825665,17792075
2011-04-19,11.120000,11.150000,10.980000,11.000000,5.767985,12087121
2011-04-20,11.030000,11.265000,11.030000,11.235000,5.891211,13000039
2011-04-21,11.100000,11.185000,11.005000,11.060000,5.799448,18007281
2011-04-26,11.060000,11.255000,11.015000,11.230000,5.888588,12166674
2011-04-27,11.250000,11.260000,11.060000,11.060000,5.799448,20017516
2011-04-28,11.130000,11.200000,11.105000,11.185000,5.864993,13052717
2011-04-29,11.210000,11.275000,11.190000,11.215000,5.880724,9187526
2011-05-02,11.300000,11.350000,11.250000,11.270000,5.909564,8592076
2011-05-03,11.270000,11.310000,11.155000,11.310000,5.930539,14319730
2011-05-04,11.320000,11.380000,11.195000,11.270000,5.909564,17364136
2011-05-05,11.300000,11.320000,11.145000,11.165000,5.854506,13559133
2011-05-06,10.950000,11.235000,10.900000,11.230000,5.888588,22716293
2011-05-09,11.220000,11.250000,11.120000,11.120000,5.830909,15649238
2011-05-10,11.145000,11.235000,11.125000,11.225000,5.885966,14836442
2011-05-11,11.255000,11.325000,11.205000,11.285000,5.917429,15892070
2011-05-12,11.255000,11.320000,11.145000,11.320000,5.935781,31623405
2011-05-13,10.680000,10.690000,10.490000,10.490000,5.863122,22253713
2011-05-16,10.435000,10.495000,10.350000,10.470000,5.851943,15896372
2011-05-17,10.420000,10.515000,10.360000,10.360000,5.790461,14829047
2011-05-18,10.550000,10.610000,10.505000,10.535000,5.888273,15541258
2011-05-19,10.600000,10.695000,10.555000,10.610000,5.930192,12819113
2011-05-20,10.610000,10.685000,10.485000,10.510000,5.874299,17508414
2011-05-23,10.400000,10.475000,10.365000,10.415000,5.821201,15542895
2011-05-24,10.400000,10.435000,10.310000,10.310000,5.762515,12817222
2011-05-25,10.215000,10.315000,10.160000,10.290000,5.751337,14636938
2011-05-26,10.320000,10.320000,10.160000,10.160000,5.678677,13262065
2011-05-27,10.235000,10.285000,10.035000,10.140000,5.667497,18546225
2011-05-30,10.125000,10.215000,10.120000,10.170000,5.684266,5732797
2011-05-31,10.260000,10.330000,10.220000,10.330000,5.773693,16364123
2011-06-01,10.345000,10.390000,10.200000,10.215000,5.709416,10369129
2011-06-02,10.155000,10.215000,10.040000,10.040000,5.611604,9436689
2011-06-03,10.060000,10.090000,9.935000,10.035000,5.608810,12676887
2011-06-06,9.950000,10.045000,9.931000,10.005000,5.592042,10292622
2011-06-07,10.020000,10.140000,10.000000,10.090000,5.639550,8915599
2011-06-08,9.995000,10.075000,9.972000,10.030000,5.606015,12182989
2011-06-09,10.030000,10.180000,10.015000,10.145000,5.670293,11510196
2011-06-10,10.070000,10.230000,10.055000,10.140000,5.667497,15770959
2011-06-13,10.110000,10.365000,10.090000,10.275000,5.742952,12110257
2011-06-14,10.380000,10.570000,10.370000,10.570000,5.907835,20414941
2011-06-15,10.505000,10.550000,10.330000,10.350000,5.784872,14542947
2011-06-16,10.360000,10.410000,10.270000,10.395000,5.810024,14679274
2011-06-17,10.395000,10.635000,10.320000,10.480000,5.857532,40061081
2011-06-20,10.415000,10.510000,10.335000,10.505000,5.871505,10419728
2011-06-21,10.550000,10.615000,10.465000,10.615000,5.932987,12805986
2011-06-22,10.630000,10.700000,10.600000,10.670000,5.963727,11756413
2011-06-23,10.650000,10.680000,10.575000,10.585000,5.916219,11945676
2011-06-24,10.640000,10.665000,10.350000,10.375000,5.798844,15377224
2011-06-27,10.310000,10.515000,10.305000,10.460000,5.846352,9369235
2011-06-28,10.485000,10.490000,10.365000,10.415000,5.821201,12425503
2011-06-29,10.435000,10.620000,10.425000,10.580000,5.913424,11496582
2011-06-30,10.590000,10.820000,10.570000,10.815000,6.044771,13143679
2011-07-01,10.800000,10.800000,10.630000,10.690000,5.974906,14693067
2011-07-04,10.705000,10.705000,10.615000,10.695000,5.977701,5482650
2011-07-05,10.560000,10.685000,10.545000,10.630000,5.941370,9478685
2011-07-06,10.640000,10.645000,10.515000,10.565000,5.905041,10263854
2011-07-07,10.585000,10.725000,10.535000,10.670000,5.963727,9498820
2011-07-08,10.715000,10.735000,10.575000,10.575000,5.910629,10479877
2011-07-11,10.565000,10.590000,10.315000,10.375000,5.798844,13708616
2011-07-12,10.295000,10.320000,10.105000,10.165000,5.681470,25568804
2011-07-13,10.160000,10.325000,10.130000,10.310000,5.762515,13605252
2011-07-14,10.260000,10.315000,10.190000,10.250000,5.728980,9006809
2011-07-15,10.185000,10.360000,10.150000,10.260000,5.734569,15048581
2011-07-18,10.215000,10.250000,10.085000,10.090000,5.639550,13726922
2011-07-19,10.125000,10.345000,10.125000,10.345000,5.782078,12737031
2011-07-20,10.395000,10.505000,10.330000,10.505000,5.871505,11072858
2011-07-21,10.515000,10.610000,10.375000,10.570000,5.907835,16499120
2011-07-22,10.620000,10.710000,10.450000,10.710000,5.986085,10742837
2011-07-25,10.675000,10.695000,10.580000,10.620000,5.935781,11341036
2011-07-26,10.665000,10.835000,10.645000,10.790000,6.030799,14491299
2011-07-27,10.740000,10.820000,10.595000,10.670000,5.963727,10989131
2011-07-28,10.705000,10.745000,10.595000,10.730000,5.997264,12251143
2011-07-29,10.670000,10.875000,10.615000,10.840000,6.058746,13226738
2011-08-01,10.925000,10.940000,10.430000,10.430000,5.829585,21296876
2011-08-02,10.380000,10.495000,10.330000,10.350000,5.784872,17909502
2011-08-03,10.275000,10.515000,10.225000,10.255000,5.731774,22247021
2011-08-04,10.200000,10.575000,10.140000,10.145000,5.670293,28336303
2011-08-05,9.950000,10.155000,9.824000,9.969000,5.571922,37345922
2011-08-08,9.830000,10.100000,9.759000,9.759000,5.454546,33446034
2011-08-09,9.714000,9.819000,8.921000,9.420000,5.265071,60008219
2011-08-10,9.569000,9.859000,9.081000,9.108000,5.090687,48596517
2011-08-11,9.329000,9.350000,8.800000,9.243000,5.166142,41001110
2011-08-12,9.198000,9.534000,9.083000,9.529000,5.325995,24289065
2011-08-15,9.592000,9.677000,9.508000,9.521000,5.321523,14299327
2011-08-16,9.404000,9.585000,9.289000,9.575000,5.351705,18449933
2011-08-17,9.511000,9.650000,9.395000,9.543000,5.333819,14113890
2011-08-18,9.474000,9.607000,9.061000,9.169000,5.124781,28210434
2011-08-19,9.159000,9.168000,8.806000,9.010000,5.035913,35338174
2011-08-22,8.970000,9.296000,8.950000,9.124000,5.099630,19851002
2011-08-23,9.230000,9.560000,9.199000,9.559000,5.342762,28763725
2011-08-24,9.589000,9.791000,9.460000,9.719000,5.432189,19498077
2011-08-25,9.770000,9.790000,9.282000,9.455000,5.284634,22794805
2011-08-26,9.455000,9.490000,9.184000,9.383000,5.244391,16791280
2011-08-29,9.513000,9.639000,9.436000,9.627000,5.380769,10177132
2011-08-30,9.657000,9.657000,9.416000,9.534000,5.328790,11415539
2011-08-31,9.540000,9.825000,8.778000,8.806000,4.921892,71238495
2011-09-01,8.883000,9.070000,8.704000,9.000000,5.030323,48869992
2011-09-02,8.893000,8.920000,8.714000,8.733000,4.881091,25249078
2011-09-05,8.650000,8.670000,8.260000,8.330000,4.655844,29227958
2011-09-06,8.364000,8.497000,8.222000,8.242000,4.606658,25332832
2011-09-07,8.399000,8.452000,8.282000,8.444000,4.719561,16884521
