Date,Open,High,Low,Close,Adj Close,Volume
2010-11-25,6.572000,6.760000,6.567000,6.760000,5.827988,13534662
2010-11-26,6.732000,6.844000,6.662000,6.831000,5.889198,13925537
2010-11-29,6.858000,6.950000,6.720000,6.776000,5.841781,14104643
2010-11-30,6.852000,6.910000,6.765000,6.846000,5.902130,14199632
2010-12-01,6.860000,7.045000,6.817000,7.045000,6.073693,15228535
2010-12-02,7.090000,7.192000,7.016000,7.179000,6.189219,19295572
2010-12-03,7.185000,7.380000,7.179000,7.380000,6.362507,15204738
2010-12-06,7.430000,7.669000,7.420000,7.570000,6.526311,14780255
2010-12-07,7.640000,7.700000,7.253000,7.309000,6.301296,28162469
2010-12-08,7.328000,7.384000,7.264000,7.305000,6.297847,9911314
2010-12-09,7.420000,7.475000,6.922000,6.971000,6.009896,32564126
2010-12-10,6.980000,7.326000,6.812000,7.210000,6.215944,19019283
2010-12-13,7.277000,7.330000,7.168000,7.186000,6.195253,8208005
2010-12-14,7.179000,7.249000,6.990000,7.040000,6.069382,13628679
2010-12-15,7.030000,7.099000,6.956000,6.980000,6.017655,9758301
2010-12-16,7.000000,7.138000,6.939000,7.043000,6.071970,10173710
2010-12-17,7.060000,7.090000,7.000000,7.049000,6.077141,11917824
2010-12-20,7.052000,7.083000,7.010000,7.053000,6.080592,5926052
2010-12-21,7.070000,7.170000,7.070000,7.135000,6.151285,7475866
2010-12-22,7.120000,7.258000,7.120000,7.250000,6.250430,8999839
2010-12-23,7.250000,7.270000,7.134000,7.165000,6.177149,5726087
2010-12-27,7.150000,7.186000,6.983000,6.983000,6.020241,5483102
2010-12-28,7.000000,7.048000,6.971000,7.013000,6.046105,3465415
2010-12-29,7.010000,7.042000,6.987000,7.028000,6.059037,3576427
2010-12-30,7.010000,7.026000,6.926000,6.963000,6.002999,3049771
2011-01-03,7.010000,7.217000,6.997000,7.217000,6.221979,7883567
2011-01-04,7.220000,7.263000,7.020000,7.020000,6.052140,12179729
2011-01-05,7.030000,7.125000,6.926000,7.020000,6.052140,13481756
2011-01-06,7.024000,7.183000,7.000000,7.030000,6.060761,9198307
2011-01-07,7.029000,7.095000,6.995000,7.034000,6.064210,6530397
2011-01-10,7.000000,7.045000,6.809000,6.813000,5.873680,9019068
2011-01-11,6.838000,7.163000,6.824000,7.163000,6.175425,13455530
2011-01-12,7.177000,7.322000,7.160000,7.227000,6.230601,15045734
2011-01-13,7.250000,7.270000,7.096000,7.228000,6.231463,9682623
2011-01-14,7.300000,7.366000,7.233000,7.340000,6.328021,12130221
2011-01-17,7.350000,7.440000,7.340000,7.394000,6.374577,7612733
2011-01-18,7.550000,7.890000,7.542000,7.791000,6.716841,23972907
2011-01-19,7.900000,7.948000,7.508000,7.537000,6.497860,16303369
2011-01-20,7.510000,7.530000,7.245000,7.306000,6.298709,18863693
2011-01-21,7.358000,7.400000,7.244000,7.270000,6.267673,14764621
2011-01-24,7.292000,7.334000,7.160000,7.221000,6.225428,7958292
2011-01-25,7.321000,7.570000,7.230000,7.570000,6.526311,16360934
2011-01-26,7.610000,7.737000,7.542000,7.691000,6.630629,10737323
2011-01-27,7.697000,7.808000,7.604000,7.765000,6.694425,11214484
2011-01-28,7.731000,7.822000,7.658000,7.735000,6.668562,9449544
2011-01-31,7.695000,7.841000,7.634000,7.721000,6.656492,12225286
2011-02-01,7.920000,7.980000,7.802000,7.822000,6.743567,25703369
2011-02-02,7.860000,8.051000,7.850000,7.970000,6.871162,16289295
2011-02-03,7.990000,8.079000,7.890000,8.023000,6.916855,12681657
2011-02-04,8.060000,8.064000,8.000000,8.030000,6.922890,9468880
2011-02-07,8.058000,8.210000,8.010000,8.200000,7.069451,9251441
2011-02-08,8.230000,8.271000,8.162000,8.270000,7.129801,9949193
2011-02-09,8.280000,8.319000,8.120000,8.140000,7.017724,10900994
2011-02-10,8.130000,8.183000,7.961000,8.134000,7.012551,11216099
2011-02-11,8.100000,8.229000,8.034000,8.200000,7.069451,9655163
2011-02-14,8.249000,8.279000,8.166000,8.227000,7.092731,6894426
2011-02-15,8.198000,8.220000,8.071000,8.071000,6.958238,8400668
2011-02-16,8.101000,8.158000,8.055000,8.106000,6.988412,8151753
2011-02-17,8.145000,8.198000,8.018000,8.036000,6.928063,11712297
2011-02-18,7.990000,8.044000,7.926000,8.001000,6.984807,11050904
2011-02-21,7.990000,8.089000,7.816000,7.821000,6.827669,11239714
2011-02-22,7.695000,8.044000,7.562000,8.011000,6.993537,17128193
2011-02-23,7.948000,7.970000,7.657000,7.668000,6.694101,14124777
2011-02-24,7.600000,7.785000,7.571000,7.663000,6.689736,10812867
2011-02-25,7.700000,7.845000,7.682000,7.777000,6.789257,9080304
2011-02-28,7.783000,7.998000,7.752000,7.928000,6.921078,9425793
2011-03-01,7.995000,8.175000,7.801000,7.858000,6.859970,12821588
2011-03-02,7.780000,7.824000,7.680000,7.780000,6.791876,11023938
2011-03-03,7.850000,7.895000,7.790000,7.820000,6.826796,7171820
2011-03-04,7.881000,7.950000,7.639000,7.690000,6.713307,8914569
2011-03-07,7.630000,7.885000,7.620000,7.733000,6.750845,9938340
2011-03-08,7.760000,7.810000,7.591000,7.768000,6.781400,10223169
2011-03-09,7.775000,7.780000,7.452000,7.482000,6.531724,15652240
2011-03-10,7.375000,7.380000,7.160000,7.212000,6.296017,21413826
2011-03-11,7.036000,7.325000,6.920000,7.325000,6.394665,21709242
2011-03-14,7.090000,7.380000,7.050000,7.244000,6.323952,17041978
2011-03-15,7.000000,7.063000,6.628000,6.928000,6.048088,32416002
2011-03-16,7.107000,7.198000,6.909000,6.909000,6.031500,27706391
2011-03-17,6.950000,7.066000,6.902000,6.972000,6.086499,16222848
2011-03-18,7.055000,7.097000,6.827000,6.827000,5.959915,19219629
2011-03-21,7.030000,7.165000,7.000000,7.165000,6.254986,13640287
2011-03-22,7.250000,7.336000,7.071000,7.140000,6.233161,16358749
2011-03-23,7.105000,7.155000,6.952000,7.100000,6.198242,12732425
2011-03-24,7.073000,7.243000,7.047000,7.240000,6.320460,12938128
2011-03-25,7.298000,7.330000,7.200000,7.230000,6.311731,10007821
2011-03-28,7.215000,7.262000,7.141000,7.200000,6.285541,8613724
2011-03-29,7.199000,7.220000,7.051000,7.124000,6.219193,9390897
2011-03-30,7.185000,7.302000,7.181000,7.294000,6.367602,10579111
2011-03-31,7.300000,7.323000,7.233000,7.235000,6.316096,6775934
2011-04-01,7.300000,7.354000,7.233000,7.354000,6.419982,7945496
2011-04-04,7.365000,7.497000,7.334000,7.463000,6.515137,9167784
2011-04-05,7.740000,7.770000,7.587000,7.750000,6.765687,16899157
2011-04-06,7.786000,7.788000,7.590000,7.620000,6.652197,12852557
2011-04-07,7.620000,7.650000,7.452000,7.458000,6.510772,10530650
