Date,Mkt-Rf,SMB,HML,IFX-Rf,IFX_R,DTE-Rf,DTE_R,BMW-Rf,BMW_R,BAYN-Rf,BAYN_R,ALV-Rf,ALV_R,ADIDAS-Rf,ADIDAS_R,RF
15/02/2011,-0.38,-0.37,0.3,0.002,0.003,-0.001,0,-0.001,0,0.005,0.006,-0.013,-0.011,-0.003,-0.002,0.0111
16/02/2011,0.68,0.37,0.25,-0.02,-0.019,-0.001,0,-0.02,-0.018,0,0.001,0.01,0.011,0.011,0.012,0.01116667
17/02/2011,0.37,0.38,0.19,0.003,0.004,0.008,0.01,-0.006,-0.005,0.006,0.007,0.012,0.013,0.011,0.012,0.0113
18/02/2011,0.12,-0.14,0.03,-0.01,-0.009,-0.005,-0.004,-0.011,-0.01,0.002,0.003,-0.007,-0.006,0.02,0.021,0.01116667
21/02/2011,-2.19,-0.5,-0.3,0.006,0.007,0.005,0.006,-0.009,-0.008,0.009,0.01,0.006,0.007,-0.013,-0.012,0.0116
22/02/2011,-0.78,-1.18,0.4,-0.023,-0.022,-0.001,0,-0.005,-0.004,-0.023,-0.022,-0.022,-0.021,-0.014,-0.012,0.01113333
23/02/2011,0.04,0.72,-0.34,0.022,0.023,-0.003,-0.002,0.001,0.002,-0.012,-0.011,-0.004,-0.003,0.002,0.003,0.01123333
24/02/2011,1.22,1.02,0.26,-0.045,-0.044,-0.005,-0.004,-0.037,-0.036,-0.005,-0.004,-0.01,-0.009,0.019,0.02,0.01103333
25/02/2011,0.42,-0.43,0.24,-0.001,0,-0.005,-0.004,-0.024,-0.023,-0.003,-0.002,-0.028,-0.027,-0.004,-0.003,0.01113333
28/02/2011,-1.58,-0.31,-0.03,0.014,0.015,-0.019,-0.017,0.028,0.029,-0.005,-0.003,0.006,0.007,-0.007,-0.005,0.01116667
01/03/2011,0.28,0.34,-0.29,0.018,0.019,-0.001,0,0,0.001,0.024,0.025,0.017,0.018,-0.009,-0.008,0.0116
02/03/2011,1.76,0.46,-0.06,-0.01,-0.009,-0.005,-0.004,0.014,0.015,-0.01,-0.009,-0.01,-0.009,0.033,0.034,0.0114
03/03/2011,-0.67,0.28,-0.51,-0.011,-0.01,0.003,0.004,-0.029,-0.028,0.003,0.004,-0.012,-0.011,0.011,0.012,0.0111
04/03/2011,-0.96,-0.73,0.08,0.005,0.006,-0.005,-0.004,0.001,0.002,0.021,0.022,0.016,0.017,-0.008,-0.007,0.011
07/03/2011,0.97,0.44,0.68,-0.019,-0.018,-0.001,0,-0.007,-0.006,-0.01,-0.009,0.003,0.004,-0.001,0,0.01113333
08/03/2011,-0.17,-0.27,0.33,0.005,0.006,-0.009,-0.008,-0.002,-0.001,-0.005,-0.004,-0.003,-0.001,0.009,0.01,0.0112
09/03/2011,-1.93,-0.74,-0.3,0.003,0.004,0.038,0.039,0.003,0.004,-0.005,-0.004,-0.004,-0.003,0.012,0.013,0.011
10/03/2011,0.69,-0.35,0.14,-0.039,-0.038,0.008,0.009,0.002,0.003,-0.006,-0.005,0,0.001,-0.026,-0.025,0.0111
11/03/2011,-0.59,0.11,-0.4,-0.037,-0.036,0.008,0.009,-0.019,-0.018,-0.014,-0.013,-0.023,-0.022,0.006,0.007,0.0112
14/03/2011,-1.05,0.28,-0.15,0.013,0.014,-0.005,-0.004,-0.016,-0.014,-0.011,-0.01,-0.023,-0.022,0.005,0.006,0.01113333
15/03/2011,-1.77,0.64,-0.12,-0.012,-0.011,-0.016,-0.015,-0.01,-0.009,-0.006,-0.005,-0.031,-0.03,-0.01,-0.009,0.01153333
16/03/2011,1.12,-0.8,0.58,-0.045,-0.044,-0.03,-0.029,-0.029,-0.027,-0.037,-0.036,-0.031,-0.03,-0.026,-0.025,0.0114
17/03/2011,0.49,0.56,0.21,-0.004,-0.003,-0.013,-0.012,-0.023,-0.022,-0.025,-0.024,-0.031,-0.03,-0.004,-0.003,0.01136667
18/03/2011,1.58,0.97,-0.27,0.009,0.01,0.011,0.012,0.018,0.019,0.022,0.023,0.04,0.041,-0.009,-0.008,0.01106667
21/03/2011,-0.34,-0.08,-0.05,-0.023,-0.022,-0.015,-0.014,0.02,0.021,-0.008,-0.007,-0.013,-0.012,0.008,0.009,0.01143333
22/03/2011,0.31,0.15,-0.41,0.046,0.048,0.104,0.106,0.002,0.003,0.023,0.024,0.03,0.031,0.006,0.007,0.0113
23/03/2011,0.96,-0.1,-0.43,-0.004,-0.003,0.011,0.012,-0.017,-0.015,-0.003,-0.002,0,0.001,-0.005,-0.003,0.0111
24/03/2011,0.41,0.43,-0.03,-0.006,-0.005,0.004,0.005,0.011,0.012,-0.006,-0.005,0.005,0.007,0.019,0.02,0.01126667
25/03/2011,-0.35,0.04,-0.19,0.018,0.019,-0.001,0,0.04,0.041,0.013,0.014,0.014,0.016,0.026,0.027,0.01146667
28/03/2011,0.74,0.26,-0.18,-0.003,-0.002,-0.012,-0.011,-0.003,-0.002,-0.007,-0.006,-0.005,-0.004,-0.021,-0.02,0.01163333
29/03/2011,0.79,0.44,0.06,-0.004,-0.003,-0.001,0,-0.003,-0.002,-0.005,-0.004,0.002,0.003,0,0.001,0.0118
30/03/2011,-0.11,0.59,-0.29,-0.012,-0.011,0.001,0.002,-0.001,0.001,0.022,0.023,-0.013,-0.012,0,0.001,0.01216667
31/03/2011,0.52,-0.11,0.24,0.023,0.024,0.011,0.012,0.019,0.02,0.004,0.005,0.024,0.025,-0.003,-0.002,0.01213333
01/04/2011,0.09,0.23,-0.08,-0.009,-0.008,-0.003,-0.002,0.002,0.003,0,0.001,-0.015,-0.013,-0.016,-0.015,0.01243333
04/04/2011,0.08,0.49,-0.23,0.014,0.016,0.02,0.021,0.04,0.041,0.027,0.028,0.016,0.017,-0.005,-0.003,0.01213333
05/04/2011,0.21,-0.2,0.62,0.014,0.015,0.002,0.003,-0.014,-0.013,0.008,0.009,-0.007,-0.006,-0.01,-0.009,0.01236667
06/04/2011,-0.2,-0.23,-0.19,0.036,0.038,-0.003,-0.002,0.008,0.01,-0.038,-0.037,0.003,0.005,-0.032,-0.03,0.01216667
07/04/2011,-0.47,-0.56,-0.27,-0.019,-0.018,-0.008,-0.007,-0.004,-0.003,0.001,0.002,0.012,0.013,-0.033,-0.032,0.01203333
08/04/2011,-0.39,-0.64,-0.07,-0.022,-0.021,-0.001,0,-0.029,-0.028,-0.006,-0.005,0,0.001,0.023,0.025,0.01206667
11/04/2011,-0.84,-0.67,0.07,-0.025,-0.023,0.001,0.002,-0.011,-0.01,0.007,0.009,0.015,0.016,-0.007,-0.006,0.01206667
12/04/2011,0.11,0.14,-0.69,0.008,0.009,0.006,0.007,-0.026,-0.025,0.006,0.007,0.006,0.007,0.028,0.03,0.0119
13/04/2011,0,0.39,-0.35,-0.049,-0.048,-0.012,-0.01,-0.009,-0.008,-0.013,-0.012,-0.009,-0.008,-0.005,-0.004,0.01196667
14/04/2011,0.44,0.59,-0.08,0.005,0.007,0.006,0.007,0.015,0.016,0.016,0.017,0.007,0.008,-0.01,-0.009,0.01153333
15/04/2011,-1.15,-0.4,-0.32,-0.022,-0.021,-0.003,-0.002,0.005,0.006,-0.006,-0.004,-0.019,-0.018,0.023,0.024,0.01163333
18/04/2011,0.5,-0.36,-0.17,0.01,0.012,0.014,0.015,0.002,0.003,0.002,0.003,0.006,0.007,-0.014,-0.013,0.01146667
19/04/2011,1.45,0.64,-0.61,0.015,0.016,-0.013,-0.012,-0.017,-0.016,-0.022,-0.021,-0.05,-0.049,0.003,0.004,0.01143333
20/04/2011,0.56,0.31,-0.1,0.004,0.005,-0.011,-0.01,0.026,0.027,-0.009,-0.008,0.004,0.006,-0.005,-0.003,0.01136667
21/04/2011,-0.16,-0.09,0,0.041,0.042,0.019,0.021,0.028,0.029,0.041,0.043,0.022,0.023,0.01,0.011,0.01136667
26/04/2011,0.89,0.17,-0.04,-0.006,-0.005,-0.017,-0.015,0.007,0.008,0.004,0.005,0.009,0.01,-0.008,-0.007,0.01153333
27/04/2011,0.66,-0.11,-0.19,0.031,0.032,0.014,0.015,0.011,0.012,0.007,0.009,0.008,0.009,0.004,0.005,0.0119
28/04/2011,0.32,-0.13,0.15,-0.007,-0.006,-0.017,-0.015,0.003,0.004,0.006,0.007,0.007,0.008,0,0.001,0.01163333
29/04/2011,0.29,0.21,-0.09,0.002,0.003,0.009,0.01,0.018,0.02,0.019,0.02,0.014,0.015,0.015,0.016,0.01166667
02/05/2011,-0.28,-0.89,-0.2,0.003,0.004,0.002,0.003,0.007,0.008,0.01,0.011,0.005,0.007,0.015,0.016,0.0118
03/05/2011,-0.5,-0.99,0.37,0.009,0.01,0.004,0.005,0.011,0.012,0.004,0.005,-0.005,-0.004,-0.01,-0.009,0.01156667
04/05/2011,-0.74,-0.54,-0.08,0.021,0.022,0.002,0.003,-0.018,-0.017,0.006,0.007,0.003,0.004,0.011,0.012,0.0113
05/05/2011,-0.82,0.51,-0.32,-0.008,-0.007,-0.005,-0.003,-0.017,-0.016,-0.021,-0.02,-0.017,-0.016,-0.006,-0.004,0.0113
06/05/2011,0.46,0.02,-0.19,0,0.001,-0.011,-0.01,-0.017,-0.016,0.009,0.01,0.001,0.003,-0.006,-0.005,0.01116667
09/05/2011,0.55,0.69,-0.47,0.003,0.004,0.006,0.007,0.022,0.024,0.016,0.017,0.013,0.014,0.003,0.004,0.01106667
10/05/2011,0.86,0.66,0.24,0.01,0.012,-0.011,-0.01,-0.026,-0.025,-0.023,-0.022,-0.025,-0.024,0.019,0.02,0.0107
11/05/2011,-1.09,-0.61,-0.41,0.029,0.03,0.009,0.01,0.021,0.022,0.012,0.013,0.014,0.015,0.014,0.015,0.01083333
12/05/2011,0.52,0.4,-0.45,-0.002,-0.001,0.004,0.005,0.007,0.008,0.002,0.003,0.005,0.007,-0.016,-0.015,0.01093333
13/05/2011,-0.88,-0.45,-0.31,0.006,0.007,0.002,0.003,-0.001,0,-0.014,-0.013,-0.016,-0.015,0.021,0.022,0.01106667
16/05/2011,-0.76,-1,0.43,-0.012,-0.011,-0.015,-0.014,-0.002,-0.001,0.004,0.005,-0.021,-0.02,0.043,0.044,0.0111
17/05/2011,-0.11,-0.49,0.17,-0.003,-0.001,-0.003,-0.002,-0.006,-0.005,0.002,0.003,-0.008,-0.007,-0.001,0,0.01116667
18/05/2011,1.02,0.66,-0.31,-0.04,-0.039,-0.011,-0.01,-0.017,-0.016,-0.025,-0.024,-0.017,-0.015,0.002,0.003,0.01133333
19/05/2011,0.22,-0.03,-0.12,0.003,0.004,0.016,0.017,0.01,0.011,0.015,0.016,0.006,0.007,0.011,0.012,0.01146667
20/05/2011,-0.73,0.09,-0.21,0.022,0.023,0.006,0.007,0.011,0.012,-0.003,-0.002,0.006,0.007,0.008,0.009,0.0115
23/05/2011,-1.29,-0.51,0,-0.008,-0.007,-0.011,-0.01,-0.017,-0.016,-0.016,-0.015,-0.014,-0.013,0.01,0.012,0.01163333
24/05/2011,-0.14,-0.28,-0.05,-0.042,-0.041,-0.01,-0.009,-0.032,-0.031,-0.022,-0.02,-0.024,-0.023,0.008,0.009,0.01153333
25/05/2011,0.45,1.02,-0.37,0.019,0.021,-0.012,-0.01,0.018,0.019,0.006,0.007,-0.006,-0.005,-0.012,-0.011,0.0115
26/05/2011,0.52,0.67,-0.14,-0.003,-0.001,-0.003,-0.002,0.006,0.008,-0.009,-0.008,0.014,0.015,0.001,0.002,0.0115
27/05/2011,0.49,0.18,0.23,-0.011,-0.01,-0.013,-0.012,-0.019,-0.017,-0.02,-0.019,-0.014,-0.013,0,0.001,0.01143333
30/05/2011,1.04,0.44,-0.05,0.011,0.012,-0.003,-0.002,0.016,0.017,0.009,0.01,0.018,0.019,0.053,0.054,0.01163333
31/05/2011,-2.33,-0.74,-0.26,-0.004,-0.003,0.001,0.002,0.001,0.002,0.009,0.01,-0.011,-0.009,-0.037,-0.036,0.01183333
01/06/2011,-0.1,-0.03,0.11,0.023,0.025,0.015,0.016,0.009,0.011,0.019,0.02,0.016,0.017,0.002,0.004,0.01186667
02/06/2011,-1.1,-0.54,0.15,-0.008,-0.007,-0.012,-0.01,-0.015,-0.014,-0.007,-0.006,-0.017,-0.015,0.01,0.011,0.0119
03/06/2011,-1.18,-0.24,-0.34,-0.026,-0.025,-0.019,-0.018,-0.009,-0.008,-0.028,-0.026,-0.024,-0.023,-0.027,-0.026,0.0119
06/06/2011,-0.04,0.32,-0.13,0.006,0.007,-0.001,0,0.001,0.002,0.004,0.005,0.004,0.005,0.018,0.019,0.01166667
07/06/2011,-0.54,-0.72,0.05,-0.01,-0.009,-0.005,-0.004,0.006,0.008,0.014,0.015,-0.014,-0.013,-0.033,-0.032,0.01156667
08/06/2011,0.75,-0.1,0.02,0.013,0.015,0.008,0.009,-0.008,-0.007,-0.005,-0.004,0.008,0.009,0.011,0.013,0.01163333
09/06/2011,-1.37,-0.24,0.44,-0.026,-0.025,-0.006,-0.005,0.01,0.011,-0.014,-0.013,-0.009,-0.008,-0.003,-0.002,0.01136667
10/06/2011,0.01,-0.54,0.39,-0.009,-0.007,0.01,0.011,0.03,0.031,0.011,0.013,0.016,0.017,-0.001,0,0.01123333
13/06/2011,1.36,1.03,-0.4,-0.025,-0.024,-0.001,0,-0.011,-0.009,-0.009,-0.008,-0.014,-0.012,0.004,0.005,0.0112
14/06/2011,-1.72,0,-0.15,0,0.002,0.011,0.012,0.002,0.003,0.002,0.003,-0.001,0,-0.005,-0.004,0.01133333
15/06/2011,0.12,-0.07,0.44,0.017,0.018,0.028,0.029,0.013,0.014,0.022,0.023,0.017,0.018,-0.027,-0.026,0.01133333
16/06/2011,0.25,-0.39,0.67,-0.019,-0.018,-0.023,-0.022,-0.017,-0.016,-0.015,-0.014,-0.014,-0.013,0.015,0.016,0.0112
17/06/2011,0.58,0.38,-0.11,-0.01,-0.009,0.004,0.005,0.016,0.017,0.018,0.019,-0.007,-0.006,0.005,0.007,0.01106667
20/06/2011,1.52,0.95,-0.4,-0.02,-0.019,0.007,0.009,0.011,0.012,0.003,0.004,0.015,0.016,-0.017,-0.016,0.01123333
21/06/2011,-0.62,-0.1,0.01,0,0.002,0.001,0.002,-0.006,-0.004,-0.004,-0.003,-0.005,-0.004,0.017,0.018,0.01103333
22/06/2011,-0.14,0.64,-0.83,0.011,0.013,0.009,0.01,0.014,0.015,0.004,0.005,0.022,0.023,0.029,0.03,0.011
23/06/2011,-1.1,0.45,0.11,0.007,0.008,0.004,0.005,0.007,0.008,0.005,0.006,-0.005,-0.004,-0.021,-0.02,0.01096667
24/06/2011,0.89,0.04,-0.04,-0.018,-0.017,-0.008,-0.007,-0.004,-0.003,-0.066,-0.065,-0.014,-0.013,0.006,0.007,0.01086667
27/06/2011,1.36,0.42,-0.55,0.008,0.009,-0.022,-0.02,0.028,0.029,-0.007,-0.006,-0.024,-0.023,0.003,0.005,0.01073333
28/06/2011,0.77,-0.71,0.65,-0.001,0,0.008,0.009,0.008,0.009,-0.008,-0.007,-0.004,-0.002,-0.017,-0.016,0.01056667
29/06/2011,0.99,0.17,-0.26,0.005,0.006,-0.006,-0.005,0.019,0.02,0.002,0.003,0.003,0.004,-0.005,-0.004,0.01053333
30/06/2011,1.45,-0.04,0.18,0.034,0.035,0.014,0.015,-0.005,-0.004,0.015,0.017,0.03,0.031,-0.033,-0.032,0.01046667
01/07/2011,-0.08,0.22,-0.86,0.009,0.01,0.021,0.022,-0.002,-0.001,0.011,0.012,0.014,0.015,0.019,0.02,0.01066667
04/07/2011,0.18,0.43,-0.58,0.014,0.015,-0.013,-0.012,-0.016,-0.015,0.003,0.004,0.01,0.011,-0.026,-0.024,0.01053333
