Date,IFX_Volume,IFX,DTE_Volume,DTE,BMW_Volume,BMW,BAYN_Volume,BAYN,ALV_Volume,ALV,ADIDAS_Volume,ADIDAS,RF,DAX_Volume,DAX
14/02/2011,9655163.00 ,7.07 ,15469965.00 ,5.19 ,2734862.00 ,43.12 ,2464762.00 ,40.99 ,1774276.00 ,63.33 ,8100.00 ,25.01 ,3.33 ,118018600.00 ,7194.60 
15/02/2011,6894426.00 ,7.09 ,10794682.00 ,5.19 ,2370599.00 ,43.12 ,1992694.00 ,41.25 ,1957712.00 ,62.61 ,7400.00 ,24.96 ,3.35 ,137570400.00 ,7130.50 
16/02/2011,8400668.00 ,6.96 ,15021575.00 ,5.19 ,2410165.00 ,42.33 ,1873413.00 ,41.30 ,1622071.00 ,63.33 ,7100.00 ,25.27 ,3.39 ,114084700.00 ,7185.17 
17/02/2011,8151753.00 ,6.99 ,14266535.00 ,5.24 ,3256747.00 ,42.11 ,2437424.00 ,41.60 ,1880144.00 ,64.16 ,18600.00 ,25.57 ,3.35 ,101476200.00 ,7272.32 
18/02/2011,11712297.00 ,6.93 ,17949696.00 ,5.22 ,2799679.00 ,41.69 ,2183639.00 ,41.73 ,1715496.00 ,63.80 ,11800.00 ,26.11 ,3.48 ,112179300.00 ,7223.30 
21/02/2011,11050904.00 ,6.98 ,16510681.00 ,5.25 ,2418461.00 ,41.36 ,3008093.00 ,42.17 ,1816116.00 ,64.25 ,13500.00 ,25.81 ,3.34 ,111139900.00 ,7181.12 
22/02/2011,11239714.00 ,6.83 ,15842668.00 ,5.25 ,2072955.00 ,41.19 ,2016619.00 ,41.25 ,1774769.00 ,62.94 ,8200.00 ,25.49 ,3.37 ,95318500.00 ,7225.96 
23/02/2011,17128193.00 ,6.99 ,14190143.00 ,5.24 ,2184646.00 ,41.27 ,3125744.00 ,40.79 ,1775014.00 ,62.76 ,7500.00 ,25.56 ,3.31 ,97463100.00 ,7178.90 
24/02/2011,14124777.00 ,6.69 ,12306108.00 ,5.22 ,2859988.00 ,39.82 ,2327842.00 ,40.64 ,1552640.00 ,62.20 ,2600.00 ,26.08 ,3.34 ,86671800.00 ,7161.93 
25/02/2011,10812867.00 ,6.69 ,19168143.00 ,5.20 ,3591172.00 ,38.93 ,2604072.00 ,40.56 ,4240955.00 ,60.53 ,12900.00 ,26.00 ,3.35 ,143918800.00 ,7164.75 
28/02/2011,9080304.00 ,6.79 ,39199192.00 ,5.11 ,2662872.00 ,40.09 ,2475462.00 ,40.42 ,1732939.00 ,60.95 ,8600.00 ,25.86 ,3.48 ,129975700.00 ,7131.80 
01/03/2011,9425793.00 ,6.92 ,16114437.00 ,5.11 ,2061073.00 ,40.15 ,3636609.00 ,41.43 ,2352412.00 ,62.08 ,8500.00 ,25.65 ,3.42 ,131965800.00 ,7063.09 
02/03/2011,12821588.00 ,6.86 ,17759801.00 ,5.09 ,3450012.00 ,40.75 ,3364928.00 ,41.07 ,1942587.00 ,61.54 ,12900.00 ,26.54 ,3.33 ,141420300.00 ,6981.49 
03/03/2011,11023938.00 ,6.79 ,18590688.00 ,5.11 ,3454511.00 ,39.61 ,2580662.00 ,41.22 ,2120308.00 ,60.89 ,9200.00 ,26.86 ,3.30 ,170810200.00 ,6866.63 
04/03/2011,7171820.00 ,6.83 ,16101703.00 ,5.09 ,2300279.00 ,39.68 ,3363385.00 ,42.14 ,2497618.00 ,61.96 ,20800.00 ,26.67 ,3.34 ,284442100.00 ,6647.66 
07/03/2011,8914569.00 ,6.71 ,13409885.00 ,5.09 ,3265392.00 ,39.46 ,2355680.00 ,41.77 ,2655154.00 ,62.23 ,106300.00 ,26.67 ,3.36 ,202700000.00 ,6513.84 
08/03/2011,9938340.00 ,6.75 ,10815345.00 ,5.05 ,2155275.00 ,39.44 ,1830397.00 ,41.60 ,1692822.00 ,62.14 ,121900.00 ,26.95 ,3.30 ,146277000.00 ,6656.88 
09/03/2011,10223169.00 ,6.78 ,62819186.00 ,5.25 ,2115514.00 ,39.59 ,2158454.00 ,41.43 ,1843368.00 ,61.93 ,8600.00 ,27.30 ,3.33 ,252614000.00 ,6664.40 
10/03/2011,15652240.00 ,6.53 ,34933054.00 ,5.30 ,2655032.00 ,39.71 ,2269171.00 ,41.23 ,1579054.00 ,62.02 ,18400.00 ,26.63 ,3.36 ,218418400.00 ,6816.12 
11/03/2011,21413826.00 ,6.30 ,19815112.00 ,5.35 ,4850780.00 ,39.01 ,2774379.00 ,40.70 ,1963497.00 ,60.65 ,3900.00 ,26.82 ,3.34 ,119673000.00 ,6780.97 
14/03/2011,21709242.00 ,6.39 ,14639826.00 ,5.33 ,2706899.00 ,38.45 ,2717077.00 ,40.30 ,3547370.00 ,59.35 ,15700.00 ,26.99 ,3.46 ,95709800.00 ,6804.45 
15/03/2011,17041978.00 ,6.32 ,16789385.00 ,5.25 ,2718095.00 ,38.11 ,2744077.00 ,40.09 ,5270016.00 ,57.62 ,16700.00 ,26.76 ,3.42 ,103543200.00 ,6933.58 
16/03/2011,32416002.00 ,6.05 ,38350459.00 ,5.10 ,5671440.00 ,37.08 ,7351403.00 ,38.67 ,6931977.00 ,55.93 ,4800.00 ,26.10 ,3.41 ,80873800.00 ,6946.36 
17/03/2011,27706391.00 ,6.03 ,25785659.00 ,5.04 ,3765636.00 ,36.26 ,4836989.00 ,37.74 ,4607352.00 ,54.26 ,4700.00 ,26.02 ,3.32 ,72637400.00 ,6938.63 
18/03/2011,16222848.00 ,6.09 ,20459809.00 ,5.10 ,3745805.00 ,36.97 ,4640812.00 ,38.62 ,4085307.00 ,56.52 ,39600.00 ,25.81 ,3.43 ,93210600.00 ,6934.44 
21/03/2011,19219629.00 ,5.96 ,42010286.00 ,5.03 ,6405214.00 ,37.77 ,8211866.00 ,38.34 ,6152887.00 ,55.84 ,35100.00 ,26.05 ,3.39 ,100538400.00 ,7057.15 
22/03/2011,13640287.00 ,6.25 ,115472766.00 ,5.59 ,3129613.00 ,37.87 ,3930301.00 ,39.26 ,2745495.00 ,57.61 ,84600.00 ,26.24 ,3.33 ,96954200.00 ,7041.31 
23/03/2011,16358749.00 ,6.23 ,31390457.00 ,5.66 ,2586977.00 ,37.29 ,2061040.00 ,39.18 ,2054876.00 ,57.68 ,146700.00 ,26.15 ,3.38 ,103281900.00 ,7179.81 
24/03/2011,12732425.00 ,6.20 ,17493878.00 ,5.69 ,2922312.00 ,37.75 ,2815095.00 ,38.99 ,1767324.00 ,58.06 ,59100.00 ,26.67 ,3.44 ,79269800.00 ,7175.33 
25/03/2011,12938128.00 ,6.32 ,16948718.00 ,5.69 ,3672785.00 ,39.34 ,2212440.00 ,39.54 ,2142286.00 ,58.97 ,6200.00 ,27.40 ,3.49 ,104322600.00 ,7175.31 
28/03/2011,10007821.00 ,6.31 ,14794935.00 ,5.63 ,1782525.00 ,39.25 ,1965887.00 ,39.31 ,1409384.00 ,58.73 ,7000.00 ,26.85 ,3.54 ,153818400.00 ,7215.11 
29/03/2011,8613724.00 ,6.29 ,14016474.00 ,5.63 ,2058266.00 ,39.18 ,1444301.00 ,39.15 ,1351070.00 ,58.90 ,99700.00 ,26.88 ,3.65 ,125928000.00 ,7178.78 
30/03/2011,9390897.00 ,6.22 ,11187071.00 ,5.64 ,2294273.00 ,39.20 ,3414584.00 ,40.05 ,2298088.00 ,58.21 ,8200.00 ,26.90 ,3.64 ,117232400.00 ,7217.02 
31/03/2011,10579111.00 ,6.37 ,16194217.00 ,5.71 ,2296540.00 ,40.00 ,2810337.00 ,40.26 ,2400595.00 ,59.67 ,9300.00 ,26.85 ,3.73 ,108138900.00 ,7204.86 
01/04/2011,6775934.00 ,6.32 ,20159715.00 ,5.70 ,2365321.00 ,40.13 ,2514780.00 ,40.30 ,2115469.00 ,58.88 ,6700.00 ,26.45 ,3.64 ,147603100.00 ,7102.91 
04/04/2011,7945496.00 ,6.42 ,18191889.00 ,5.82 ,3383227.00 ,41.81 ,3514227.00 ,41.44 ,1656748.00 ,59.88 ,20700.00 ,26.36 ,3.71 ,182464900.00 ,7177.97 
05/04/2011,9167784.00 ,6.52 ,11049356.00 ,5.84 ,2114657.00 ,41.26 ,2451201.00 ,41.83 ,1201083.00 ,59.52 ,14800.00 ,26.13 ,3.65 ,134223300.00 ,7146.56 
06/04/2011,16899157.00 ,6.77 ,10282103.00 ,5.83 ,2382554.00 ,41.66 ,7480154.00 ,40.31 ,1370607.00 ,59.79 ,15600.00 ,25.35 ,3.61 ,187053300.00 ,7178.29 
07/04/2011,12852557.00 ,6.65 ,11017301.00 ,5.79 ,2689580.00 ,41.53 ,2805470.00 ,40.40 ,1959650.00 ,60.59 ,7400.00 ,24.55 ,3.62 ,163927600.00 ,7026.85 
08/04/2011,10530650.00 ,6.51 ,11029099.00 ,5.79 ,4163243.00 ,40.39 ,2477902.00 ,40.21 ,1637447.00 ,60.65 ,8800.00 ,25.16 ,3.62 ,130648600.00 ,7039.31 
11/04/2011,12125075.00 ,6.36 ,9644849.00 ,5.80 ,2776722.00 ,39.98 ,1894306.00 ,40.56 ,1524691.00 ,61.63 ,14500.00 ,25.01 ,3.57 ,142610300.00 ,7249.19 
12/04/2011,9278219.00 ,6.42 ,11430324.00 ,5.84 ,3165738.00 ,39.00 ,2336647.00 ,40.85 ,1768599.00 ,62.05 ,15300.00 ,25.76 ,3.59 ,115546600.00 ,7295.49 
13/04/2011,13731329.00 ,6.12 ,15667008.00 ,5.78 ,2673787.00 ,38.69 ,2705925.00 ,40.38 ,1612133.00 ,61.57 ,8200.00 ,25.66 ,3.46 ,83584900.00 ,7356.51 
14/04/2011,11736148.00 ,6.16 ,13748802.00 ,5.82 ,2496512.00 ,39.33 ,2565005.00 ,41.08 ,1570552.00 ,62.08 ,27200.00 ,25.43 ,3.49 ,107731000.00 ,7404.95 
15/04/2011,10866477.00 ,6.03 ,10509360.00 ,5.81 ,1622783.00 ,39.57 ,1992174.00 ,40.90 ,1924858.00 ,60.98 ,7900.00 ,26.05 ,3.44 ,138731300.00 ,7475.22 
18/04/2011,10069021.00 ,6.10 ,22460048.00 ,5.90 ,2658288.00 ,39.70 ,4082635.00 ,41.01 ,2537490.00 ,61.42 ,7100.00 ,25.71 ,3.43 ,91918500.00 ,7514.46 
